"","network","type","ss","pval"
"1","M_PL_001","HP_S",0.906364069174512,0
"2","M_PL_002","HP_S",0.878269944682297,0
"3","M_PL_003","HP_S",0.822746932505087,0
"4","M_PL_004","HP_S",0.969120383963001,0.094
"5","M_PL_005","HP_S",0.959560233820588,0
"6","M_PL_006","HP_S",0.923934039200552,0
"7","M_PL_007","HP_S",0.946806669818474,0.131
"8","M_PL_008","HP_S",0.941257004288143,0.007
"9","M_PL_009","HP_S",0.965173284015685,0.641
"10","M_PL_010","HP_S",0.979034184200219,0.003
"11","M_PL_011","HP_S",0.979732206192466,0.314
"12","M_PL_012","HP_S",0.927891562922605,0.002
"13","M_PL_013","HP_S",0.937756531266969,0.407
"14","M_PL_014","HP_S",0.938884200076516,0
"15","M_PL_015","HP_S",0.977076794237845,0
"16","M_PL_016","HP_S",0.941687145197856,0
"17","M_PL_017","HP_S",0.958028171680528,0.007
"18","M_PL_018","HP_S",0.955211324120793,0.002
"19","M_PL_019","HP_S",0.957962182952177,0.012
"20","M_PL_020","HP_S",0.954697753166794,0
"21","M_PL_021","HP_S",0.961229523000866,0
"22","M_PL_022","HP_S",0.81729923684628,0
"23","M_PL_023","HP_S",0.882256360432445,0.001
"24","M_PL_024","HP_S",0.833411968986368,0.004
"25","M_PL_025","HP_S",0.963849443266441,0.019
"26","M_PL_026","HP_S",0.944120278311647,0.108
"27","M_PL_027","HP_S",0.932667939520245,0.087
"28","M_PL_028","HP_S",0.950345616947737,0
"29","M_PL_029","HP_S",0.946744751996499,0
"30","M_PL_030","HP_S",0.890790576395652,0.002
"31","M_PL_031","HP_S",0.938489985630606,0.015
"32","M_PL_032","HP_S",0.932029641499552,0.004
"33","M_PL_033","HP_S",0.937426518642093,0
"34","M_PL_034","HP_S",0.933224972110362,0
"35","M_PL_035","HP_S",0.94209229679639,0
"36","M_PL_036","HP_S",0.735912371025181,0.043
"37","M_PL_037","HP_S",0.902310763559167,0.082
"38","M_PL_038","HP_S",0.937140525339214,0.836
"39","M_PL_039","HP_S",0.910940450547609,0
"40","M_PL_040","HP_S",0.914610413497912,0.074
"41","M_PL_041","HP_S",0.94096899278281,0.004
"42","M_PL_042","HP_S",0.958589672689892,0.66
"43","M_PL_043","HP_S",0.955971012150612,0.017
"44","M_PL_045","HP_S",0.869028869066862,0.194
"45","M_PL_046","HP_S",0.971177308330739,0.084
"46","M_PL_047","HP_S",0.981309490074274,0.002
"47","M_PL_048","HP_S",0.981835834708509,0
"48","M_PL_049","HP_S",0.967400717389076,0
"49","M_PL_050","HP_S",0.923799605412351,0.464
"50","M_PL_051","HP_S",0.969400849362563,0.239
"51","M_PL_052","HP_S",0.924473581673093,0.012
"52","M_PL_053","HP_S",0.943079603524931,0
"53","M_PL_058","HP_S",0.962480728417056,0
"54","M_PL_059","HP_S",0.964027918972503,0.463
"55","M_PL_001","PH_S",0.906364069174512,0
"56","M_PL_002","PH_S",0.878269944682297,0
"57","M_PL_003","PH_S",0.822746932505087,0
"58","M_PL_004","PH_S",0.969120383963001,0.079
"59","M_PL_005","PH_S",0.959560233820588,0
"60","M_PL_006","PH_S",0.923934039200551,0
"61","M_PL_007","PH_S",0.946806669818475,0.137
"62","M_PL_008","PH_S",0.941257004288143,0.01
"63","M_PL_009","PH_S",0.965173284015685,0.628
"64","M_PL_010","PH_S",0.979034184200219,0.003
"65","M_PL_011","PH_S",0.979732206192466,0.348
"66","M_PL_012","PH_S",0.927891562922605,0.001
"67","M_PL_013","PH_S",0.937756531266969,0.395
