"","X1","network","perm","aic","type"
"1",1,"M_PL_001","rds",-0.000394412753721346,"HP_S"
"2",2,"M_PL_001","rds",-3.3276833482702,"PH_NS"
"3",3,"M_PL_001","rds",-0.00117336575294447,"PH_S"
"4",4,"M_PL_001","rds",-2.72720494046678,"HP_NS"
"5",5,"M_PL_002","rds",-0.00764047257725281,"HP_S"
"6",6,"M_PL_002","rds",-13.7479020818226,"PH_NS"
"7",7,"M_PL_002","rds",-0.00837261179855718,"PH_S"
"8",8,"M_PL_002","rds",-35.383501637274,"HP_NS"
"9",9,"M_PL_003","rds",-0.0115620620427848,"HP_S"
"10",10,"M_PL_003","rds",-17.3393405643998,"PH_NS"
"11",11,"M_PL_003","rds",-0.0156569624693625,"PH_S"
"12",12,"M_PL_003","rds",-34.0710797423794,"HP_NS"
"13",13,"M_PL_004","rds",0.00270141401071268,"HP_S"
"14",14,"M_PL_004","rds",8.42722590132504,"PH_NS"
"15",15,"M_PL_004","rds",0.00334833396881987,"PH_S"
"16",16,"M_PL_004","rds",14.7455471621248,"HP_NS"
"17",17,"M_PL_005","rds",0.00271745077688161,"HP_S"
"18",18,"M_PL_005","rds",-0.756814567702435,"PH_NS"
"19",19,"M_PL_005","rds",-0.000152524156765768,"PH_S"
"20",20,"M_PL_005","rds",35.6186003469093,"HP_NS"
"21",21,"M_PL_006","rds",-0.00466594977674005,"HP_S"
"22",22,"M_PL_006","rds",9.42772493297583,"PH_NS"
"23",23,"M_PL_006","rds",0.00572821298669873,"PH_S"
"24",24,"M_PL_006","rds",-22.8304170683627,"HP_NS"
"25",25,"M_PL_007","rds",-0.000232768230470068,"HP_S"
"26",26,"M_PL_007","rds",26.1405962287754,"PH_NS"
"27",27,"M_PL_007","rds",0.0192365887685928,"PH_S"
"28",28,"M_PL_007","rds",-0.842899440591793,"HP_NS"
"29",29,"M_PL_008","rds",0.0123882583385857,"HP_S"
"30",30,"M_PL_008","rds",-5.51710641351929,"PH_NS"
"31",31,"M_PL_008","rds",-0.00395942390553659,"PH_S"
"32",32,"M_PL_008","rds",64.4845629167433,"HP_NS"
"33",33,"M_PL_009","rds",-0.00149898127669118,"HP_S"
"34",34,"M_PL_009","rds",0.794840146574359,"PH_NS"
"35",35,"M_PL_009","rds",0.000321991016940623,"PH_S"
"36",36,"M_PL_009","rds",-8.23941408139189,"HP_NS"
"37",37,"M_PL_010","rds",0.00349877302551392,"HP_S"
"38",38,"M_PL_010","rds",1.10283486076253,"PH_NS"
"39",39,"M_PL_010","rds",0.000328476259971816,"PH_S"
"40",40,"M_PL_010","rds",23.027629099119,"HP_NS"
"41",41,"M_PL_011","rds",-0.0273362432104696,"HP_S"
"42",42,"M_PL_011","rds",-53.1337907022537,"PH_NS"
"43",43,"M_PL_011","rds",-0.0305131203786786,"PH_S"
"44",44,"M_PL_011","rds",-184.595883676904,"HP_NS"
"45",45,"M_PL_012","rds",0.00159681169758592,"HP_S"
"46",46,"M_PL_012","rds",11.9994447859239,"PH_NS"
"47",47,"M_PL_012","rds",0.00694104073733469,"PH_S"
"48",48,"M_PL_012","rds",7.6447122030699,"HP_NS"
"49",49,"M_PL_013","rds",-0.00779200435917876,"HP_S"
"50",50,"M_PL_013","rds",0.701713332939725,"PH_NS"
"51",51,"M_PL_013","rds",0.00218848306816877,"PH_S"
"52",52,"M_PL_013","rds",-23.7735098998228,"HP_NS"
"53",53,"M_PL_014","rds",-0.00859543843070928,"HP_S"
"54",54,"M_PL_014","rds",4.5700694442817,"PH_NS"
"55",55,"M_PL_014","rds",0.00228694747485721,"PH_S"
"56",56,"M_PL_014","rds",-39.6432438060202,"HP_NS"
"57",57,"M_PL_015","rds",-0.000259718394848237,"HP_S"
"58",58,"M_PL_015","rds",-2.30128186447939,"PH_NS"
"59",59,"M_PL_015","rds",-0.000238034033168376,"PH_S"
"60",60,"M_PL_015","rds",-5.95950169986543,"HP_NS"
"61",61,"M_PL_016","rds",0.000393805181029591,"HP_S"
"62",62,"M_PL_016","rds",-0.531971994977056,"PH_NS"
"63",63,"M_PL_016","rds",-0.00016580151801153,"PH_S"
"64",64,"M_PL_016","rds",3.18897144920669,"HP_NS"
"65",65,"M_PL_017","rds",0.00982766220670156,"HP_S"
"66",66,"M_PL_017","rds",3.40921200207245,"PH_NS"
"67",67,"M_PL_017","rds",0.00200166746796576,"PH_S"
"68",68,"M_PL_017","rds",40.654743131043,"HP_NS"
"69",69,"M_PL_018","rds",-0.00169620522477457,"HP_S"
"70",70,"M_PL_018","rds",6.73123926883812,"PH_NS"
"71",71,"M_PL_018","rds",0.00295770064544072,"PH_S"
"72",72,"M_PL_018","rds",-11.6224816511319,"HP_NS"
"73",73,"M_PL_019","rds",-0.00106250961126163,"HP_S"
"74",74,"M_PL_019","rds",-0.132409497236779,"PH_NS"
"75",75,"M_PL_019","rds",-5.50659815480165e-05,"PH_S"
"76",76,"M_PL_019","rds",-6.4234286850342,"HP_NS"
"77",77,"M_PL_020","rds",-0.000268529821843902,"HP_S"
"78",78,"M_PL_020","rds",8.87094148552137,"PH_NS"
"79",79,"M_PL_020","rds",0.00427253610128037,"PH_S"
"80",80,"M_PL_020","rds",-1.70353700143141,"HP_NS"
"81",81,"M_PL_021","rds",0.00102210218068988,"HP_S"
"82",82,"M_PL_021","rds",1.94643667137044,"PH_NS"
"83",83,"M_PL_021","rds",0.000455762729970596,"PH_S"
"84",84,"M_PL_021","rds",11.916053270789,"HP_NS"
"85",85,"M_PL_022","rds",-0.00727350288112347,"HP_S"
"86",86,"M_PL_022","rds",-1.11780476228162,"PH_NS"
"87",87,"M_PL_022","rds",-0.000774266873583299,"PH_S"
"88",88,"M_PL_022","rds",-26.2685451102674,"HP_NS"
"89",89,"M_PL_023","rds",0.00637148071773846,"HP_S"
"90",90,"M_PL_023","rds",11.4066096906228,"PH_NS"
