"net","mod_pla","mod_pol","p_value"
"1","M_PL_001",0,0,1
"2","M_PL_001",1,1,1
"3","M_PL_001",2,2,0
"4","M_PL_001",3,3,1
"5","M_PL_001",4,4,1
"6","M_PL_001",5,5,0
"7","M_PL_001",6,6,0
"8","M_PL_002",0,0,0
"9","M_PL_002",1,1,0
"10","M_PL_002",2,2,1
"11","M_PL_002",3,3,0
"12","M_PL_002",4,4,0
"13","M_PL_002",5,5,1
"14","M_PL_002",6,6,0
"15","M_PL_003",0,0,0
"16","M_PL_003",1,1,1
"17","M_PL_003",2,2,1
"18","M_PL_003",3,3,0
"19","M_PL_003",4,4,1
"20","M_PL_003",5,5,0
"21","M_PL_004",0,0,1
"22","M_PL_004",1,1,1
"23","M_PL_004",2,2,1
"24","M_PL_004",3,3,1.98230389609899e-34
"25","M_PL_004",4,4,1
"26","M_PL_004",5,5,1
"27","M_PL_004",6,6,1
"28","M_PL_005",0,0,1
"29","M_PL_005",1,1,1
"30","M_PL_005",2,2,1
"31","M_PL_005",3,3,1
"32","M_PL_005",4,4,1
"33","M_PL_005",5,5,0
"34","M_PL_005",6,6,1
"35","M_PL_005",7,7,1
"36","M_PL_005",8,8,1
"37","M_PL_005",9,9,0
"38","M_PL_005",10,10,1
"39","M_PL_006",0,0,0
"40","M_PL_006",1,1,4.95089641455255e-84
"41","M_PL_006",2,2,9.47815036744384e-223
"42","M_PL_006",3,3,1
"43","M_PL_006",4,4,1
"44","M_PL_006",5,5,1
"45","M_PL_007",0,0,1
"46","M_PL_007",1,1,1
"47","M_PL_007",2,2,1
"48","M_PL_007",3,3,0
"49","M_PL_007",4,4,1
"50","M_PL_007",5,5,1
"51","M_PL_007",6,6,1
"52","M_PL_008",0,0,1
"53","M_PL_008",1,1,1
"54","M_PL_008",2,2,1
"55","M_PL_008",3,3,1
"56","M_PL_008",4,4,1
"57","M_PL_009",0,0,1
"58","M_PL_009",1,1,0
"59","M_PL_009",2,2,6.37532003812289e-309
"60","M_PL_009",3,3,1
"61","M_PL_009",4,4,1
"62","M_PL_009",5,5,1
"63","M_PL_009",6,6,1
"64","M_PL_009",7,7,1
"65","M_PL_010",0,0,1
"66","M_PL_010",1,1,1
"67","M_PL_010",2,2,0.0122980565545911
"68","M_PL_010",3,3,0
"69","M_PL_010",4,4,1
"70","M_PL_010",5,5,1
"71","M_PL_011",0,0,1
"72","M_PL_011",1,1,1
"73","M_PL_011",2,2,1
"74","M_PL_011",3,3,1
"75","M_PL_011",4,4,1
"76","M_PL_012",0,0,1
"77","M_PL_012",1,1,1
"78","M_PL_012",2,2,0
"79","M_PL_012",3,3,9.13564893519757e-266
"80","M_PL_012",4,4,1
"81","M_PL_013",0,0,1
"82","M_PL_013",1,1,1
"83","M_PL_013",2,2,1
"84","M_PL_013",3,3,1
"85","M_PL_013",4,4,1
"86","M_PL_014",0,0,1
"87","M_PL_014",1,1,0
"88","M_PL_014",2,2,0
"89","M_PL_014",3,3,1
"90","M_PL_014",4,4,1
"91","M_PL_014",5,5,1
"92","M_PL_015",0,0,1
"93","M_PL_015",1,1,0
"94","M_PL_015",2,2,0
"95","M_PL_015",3,3,0
"96","M_PL_015",4,4,1
"97","M_PL_016",0,0,1
"98","M_PL_016",1,1,4.77200962941411e-276
"99","M_PL_016",2,2,1
"100","M_PL_016",3,3,1
"101","M_PL_016",4,4,0
"102","M_PL_016",5,5,1
"103","M_PL_016",6,6,0
"104","M_PL_017",0,0,1
"105","M_PL_017",1,1,1
"106","M_PL_017",2,2,3.20733341263578e-159
"107","M_PL_017",3,3,3.16202013338398e-321
"108","M_PL_017",4,4,1
"109","M_PL_018",0,0,1.63644885157106e-219
"110","M_PL_018",1,1,1
"111","M_PL_018",2,2,1
"112","M_PL_018",3,3,1
"113","M_PL_018",4,4,0
"114","M_PL_018",5,5,1
"115","M_PL_018",6,6,0
"116","M_PL_018",7,7,1
"117","M_PL_019",0,0,5.42235421388621e-110
"118","M_PL_019",1,1,1
"119","M_PL_019",2,2,1
"120","M_PL_019",3,3,1
"121","M_PL_019",4,4,1
"122","M_PL_019",5,5,0
"123","M_PL_019",6,6,1
"124","M_PL_019",7,7,3.02553517573779e-135
"125","M_PL_019",8,8,0
"126","M_PL_020",0,0,1
"127","M_PL_020",1,1,0
"128","M_PL_020",2,2,8.02507545891514e-227
"129","M_PL_020",3,3,1
"130","M_PL_020",4,4,1
"131","M_PL_020",5,5,1
"132","M_PL_021",0,0,0
"133","M_PL_021",1,1,1
"134","M_PL_021",2,2,1
"135","M_PL_021",3,3,0
"136","M_PL_021",4,4,1
"137","M_PL_021",5,5,1
"138","M_PL_021",6,6,1
"139","M_PL_021",7,7,1
"140","M_PL_021",8,8,1
"141","M_PL_022",0,0,0
"142","M_PL_022",1,1,1
"143","M_PL_022",2,2,1
"144","M_PL_022",3,3,1
"145","M_PL_022",4,4,1
"146","M_PL_022",5,5,1
"147","M_PL_022",6,6,1
"148","M_PL_022",7,7,1
"149","M_PL_023",0,0,6.3086251067289e-95
"150","M_PL_023",1,1,1
"151","M_PL_023",2,2,1
"152","M_PL_023",3,3,6.17263262903496e-272
"153","M_PL_023",4,4,0
"154","M_PL_023",5,5,1
"155","M_PL_023",6,6,1
"156","M_PL_023",7,7,0
"157","M_PL_023",8,8,1
"158","M_PL_023",9,9,1
"159","M_PL_024",0,0,1
"160","M_PL_024",1,1,1
"161","M_PL_024",2,2,1
"162","M_PL_024",3,3,1
"163","M_PL_024",4,4,1
"164","M_PL_024",5,5,1
"165","M_PL_025",0,0,1
"166","M_PL_025",1,1,0
"167","M_PL_025",2,2,1
"168","M_PL_025",3,3,1
"169","M_PL_026",0,0,1
"170","M_PL_026",1,1,0
"171","M_PL_026",2,2,1
"172","M_PL_026",3,3,1
"173","M_PL_026",4,4,1
"174","M_PL_026",5,5,1
"175","M_PL_026",6,6,1
"176","M_PL_026",7,7,1
"177","M_PL_027",0,0,0
"178","M_PL_027",1,1,1
"179","M_PL_027",2,2,1
"180","M_PL_027",3,3,1
"181","M_PL_027",4,4,1
"182","M_PL_027",5,5,1
"183","M_PL_027",6,6,1
"184","M_PL_027",7,7,1
"185","M_PL_027",8,8,1
"186","M_PL_028",0,0,1
"187","M_PL_028",1,1,1
"188","M_PL_028",2,2,1
"189","M_PL_028",3,3,1
"190","M_PL_028",4,4,1
"191","M_PL_028",5,5,0
"192","M_PL_028",6,6,1
"193","M_PL_029",0,0,1
"194","M_PL_029",1,1,1
"195","M_PL_029",2,2,1
"196","M_PL_029",3,3,1
"197","M_PL_029",4,4,0
"198","M_PL_029",5,5,0
"199","M_PL_029",6,6,1
"200","M_PL_029",7,7,1
"201","M_PL_029",8,8,1
"202","M_PL_030",0,0,1
"203","M_PL_030",1,1,1
"204","M_PL_030",2,2,1
"205","M_PL_030",3,3,1
"206","M_PL_030",4,4,1
"207","M_PL_030",5,5,1
"208","M_PL_030",6,6,1
"209","M_PL_030",7,7,0
"210","M_PL_030",8,8,0
"211","M_PL_030",9,9,1
"212","M_PL_031",0,0,1
"213","M_PL_031",1,1,1
"214","M_PL_031",2,2,1
"215","M_PL_031",3,3,1
"216","M_PL_031",4,4,1
"217","M_PL_031",5,5,0
"218","M_PL_031",6,6,1
"219","M_PL_031",7,7,3.90539872943702e-155
"220","M_PL_032",0,0,0
"221","M_PL_032",1,1,1
"222","M_PL_032",2,2,1
"223","M_PL_032",3,3,1
"224","M_PL_032",4,4,1
"225","M_PL_033",0,0,1
"226","M_PL_033",1,1,1
